id_1,id_2,page_1_name,page_2_name
3621,4161,Белорусы,Белорусская народная республика
3621,3763,Белорусы,Социалистическая Советская Республика Белоруссия
3621,2455,Белорусы,Литовско-Белорусская Советская Социалистическая Республика
3621,2163,Белорусы,РСФСР
3621,4098,Белорусы,Могилёвская губерния
3621,3341,Белорусы,Витебская губерния
3621,185,Белорусы,Смоленская губерния
3621,3420,Белорусы,Черниговская губерния
3621,3241,Белорусы,Белорусская Советская Социалистическая Республика
3621,2387,Белорусы,Польский поход Красной армии (1939)
3621,3693,Белорусы,Воссоединение Западной Белоруссии с БССР
3621,1716,Белорусы,Литовская ССР
3621,1392,Белорусы,Белостокская область (БССР)
3621,349,Белорусы,Брестская область
3621,3787,Белорусы,Линия Керзона
3621,3615,Белорусы,Поляки в Белоруссии
3621,3011,Белорусы,Вороновский район
3621,3325,Белорусы,Белорусы в Польше
3621,1234,Белорусы,Хайнувка
3621,1700,Белорусы,Бельск-Подляски
3621,3957,Белорусы,Подвинье (регион)
3621,4229,Белорусы,XX век
3621,704,Белорусы,США
3621,724,Белорусы,Бразилия
3621,2309,Белорусы,Канада
3621,322,Белорусы,Республики СССР
3621,191,Белорусы,Полоцкое княжество
3621,4124,Белорусы,Турово-Пинское княжество
3621,2947,Белорусы,Городенское княжество
3621,4334,Белорусы,Полоцкая и Глубокская епархия
3621,2791,Белорусы,Туровская и Мозырская епархия
3621,401,Белорусы,Церковнославянский язык
3621,621,Белорусы,Великое княжество Литовское
3621,1684,Белорусы,Люблинская уния
3621,3430,Белорусы,Речь Посполитая
3621,234,Белорусы,Разделы Польши
3621,3667,Белорусы,Российская империя
3621,596,Белорусы,Триединый русский народ
3621,2510,Белорусы,"Срезневский, Измаил Иванович"
3621,1678,Белорусы,"Костомаров, Николай Иванович"
3621,1464,Белорусы,Западнорусизм
755,3600,Киевская Русь,Древнерусский язык
755,401,Киевская Русь,Церковнославянский язык
755,1150,Киевская Русь,Латинский язык
755,2042,Киевская Русь,Древнескандинавский язык
755,2687,Киевская Русь,Средние века
755,4254,Киевская Русь,Государство
755,4175,Киевская Русь,Северная Европа
755,3532,Киевская Русь,Восточная Европа
755,127,Киевская Русь,Восточные славяне
755,3061,Киевская Русь,Финно-угорские народы
755,1192,Киевская Русь,Рюриковичи
755,345,Киевская Русь,Висла
755,3287,Киевская Русь,Волга
755,4675,Киевская Русь,Ока
755,134,Киевская Русь,Белое море
755,168,Киевская Русь,Чёрное море
755,1911,Киевская Русь,Феодальная раздробленность
755,4530,Киевская Русь,Распад Киевской Руси
755,4311,Киевская Русь,Русские княжества
755,1419,Киевская Русь,Монгольское нашествие на Русь
755,4448,Киевская Русь,Киев
755,3831,Киевская Русь,Киевское княжество
755,163,Киевская Русь,Русь
755,1905,Киевская Русь,Объединение Руси
755,355,Киевская Русь,Историография
755,563,Киевская Русь,Древний мир
755,2687,Киевская Русь,Средние века
755,3738,Киевская Русь,Западная Европа
755,2859,Киевская Русь,Центральная Европа
755,2821,Киевская Русь,"Максимович, Михаил Александрович"
755,137,Киевская Русь,"Соловьёв, Сергей Михайлович"
755,1678,Киевская Русь,"Костомаров, Николай Иванович"
